band,beak depth (mm),beak length (mm),species,year
14826,9.11,10.9,fortis,1987
15499,9.11,11.04,fortis,1987
15065,9.11,11.09,fortis,1987
15832,9.11,11.14,fortis,1987
15934,9.11,11.14,fortis,1987
14784,9.11,11.34,fortis,1987
15611,9.11,11.34,fortis,1987
15325,9.11,11.54,fortis,1987
14672,9.12,10.54,fortis,1987
14347,9.12,10.63,fortis,1987
15105,9.12,10.85,fortis,1987
15233,9.12,10.85,fortis,1987
14838,9.12,10.95,fortis,1987
15359,9.12,11.04,fortis,1987
5828,9.12,11.25,fortis,1987
14824,9.12,11.25,fortis,1987
15048,9.13,10.46,fortis,1987
15321,9.13,11.96,fortis,1987
5817,9.14,10.49,fortis,1987
13690,9.14,10.73,fortis,1987
5507,9.14,11.07,fortis,1987
5858,9.15,10.45,fortis,1987
16089,9.15,10.65,fortis,1987
5718,9.15,10.71,fortis,1987
15408,9.15,11.2,fortis,1987
14692,9.15,11.25,fortis,1987
15027,9.17,10.37,fortis,1987
14518,9.17,10.72,fortis,1987
13389,9.19,12.22,fortis,1987
14871,9.2,9.5,fortis,1987
14041,9.2,10.0,fortis,1987
15126,9.2,10.2,fortis,1987
15369,9.2,10.4,fortis,1987
5826,9.2,10.55,fortis,1987
14100,9.2,10.6,fortis,1987
15125,9.2,10.6,fortis,1987
5927,9.2,10.7,fortis,1987
10213,9.2,10.7,fortis,1987
14062,9.2,10.7,fortis,1987
14879,9.2,10.7,fortis,1987
14854,9.2,10.75,fortis,1987
15056,9.2,10.8,fortis,1987
14652,9.2,10.9,fortis,1987
15450,9.2,10.9,fortis,1987
15601,9.2,10.9,fortis,1987
10023,9.2,11.0,fortis,1987
14921,9.2,11.3,fortis,1987
15926,9.2,11.9,fortis,1987
15151,9.21,10.24,fortis,1987
15263,9.21,10.39,fortis,1987
2833,9.21,10.63,fortis,1987
15707,9.21,10.84,fortis,1987
15454,9.21,11.14,fortis,1987
15409,9.21,11.24,fortis,1987
15985,9.21,11.24,fortis,1987
15215,9.21,11.34,fortis,1987
15261,9.21,11.34,fortis,1987
15903,9.21,12.14,fortis,1987
5725,9.22,11.03,fortis,1987
15772,9.22,11.04,fortis,1987
14605,9.22,11.2,fortis,1987
14696,9.23,11.06,fortis,1987
14701,9.23,11.16,fortis,1987
2737,9.24,10.21,fortis,1987
14124,9.24,10.97,fortis,1987
13708,9.24,11.83,fortis,1987
14732,9.25,10.9,fortis,1987
15710,9.25,11.0,fortis,1987
15727,9.25,11.0,fortis,1987
14679,9.27,10.5,fortis,1987
15396,9.27,10.63,fortis,1987
14956,9.27,10.85,fortis,1987
15373,9.27,11.45,fortis,1987
14901,9.3,10.1,fortis,1987
15247,9.3,10.3,fortis,1987
2738,9.3,10.4,fortis,1987
14279,9.3,10.5,fortis,1987
15399,9.3,10.6,fortis,1987
15130,9.3,10.9,fortis,1987
15174,9.3,10.9,fortis,1987
10183,9.3,11.0,fortis,1987
14471,9.3,11.0,fortis,1987
15289,9.3,11.15,fortis,1987
15428,9.3,11.15,fortis,1987
2537,9.3,11.3,fortis,1987
2666,9.3,12.81,fortis,1987
14896,9.31,10.09,fortis,1987
15971,9.31,10.84,fortis,1987
15189,9.31,10.94,fortis,1987
15500,9.31,11.04,fortis,1987
15820,9.31,11.04,fortis,1987
15474,9.31,11.14,fortis,1987
15938,9.31,11.14,fortis,1987
15987,9.31,11.14,fortis,1987
15463,9.31,11.24,fortis,1987
15746,9.31,11.24,fortis,1987
15801,9.31,11.24,fortis,1987
15739,9.31,11.34,fortis,1987
14643,9.32,10.95,fortis,1987
15310,9.33,10.66,fortis,1987
14770,9.33,10.96,fortis,1987
14792,9.33,10.96,fortis,1987
15191,9.33,11.56,fortis,1987
14744,9.35,10.4,fortis,1987
15950,9.35,10.6,fortis,1987
15788,9.35,10.75,fortis,1987
15376,9.35,10.9,fortis,1987
10716,9.37,10.73,fortis,1987
15155,9.37,11.2,fortis,1987
14874,9.4,9.9,fortis,1987
15326,9.4,10.0,fortis,1987
14629,9.4,10.2,fortis,1987
15238,9.4,10.4,fortis,1987
14705,9.4,10.5,fortis,1987
15838,9.4,11.1,fortis,1987
10826,9.4,11.2,fortis,1987
14171,9.4,11.3,fortis,1987
15346,9.4,11.8,fortis,1987
15426,9.41,10.34,fortis,1987
15633,9.41,11.24,fortis,1987
15709,9.41,11.44,fortis,1987
15904,9.41,11.54,fortis,1987
15323,9.41,12.04,fortis,1987
15152,9.42,10.94,fortis,1987
15605,9.42,11.1,fortis,1987
14546,9.42,11.67,fortis,1987
14923,9.42,13.57,fortis,1987
15129,9.43,10.61,fortis,1987
15165,9.43,10.66,fortis,1987
14641,9.43,10.96,fortis,1987
14794,9.43,10.96,fortis,1987
13409,9.43,11.21,fortis,1987
15110,9.43,11.55,fortis,1987
14884,9.43,11.96,fortis,1987
10330,9.44,10.67,fortis,1987
2658,9.44,10.8,fortis,1987
13552,9.44,11.3,fortis,1987
15482,9.45,10.8,fortis,1987
14900,9.45,11.0,fortis,1987
5635,9.45,11.51,fortis,1987
15929,9.45,11.6,fortis,1987
13704,9.47,10.67,fortis,1987
14766,9.47,10.77,fortis,1987
14940,9.47,11.3,fortis,1987
15308,9.47,11.55,fortis,1987
14823,9.47,11.6,fortis,1987
14722,9.47,12.15,fortis,1987
15613,9.5,10.4,fortis,1987
13644,9.5,10.5,fortis,1987
15360,9.5,10.5,fortis,1987
15939,9.5,10.5,fortis,1987
16168,9.5,10.5,fortis,1987
15395,9.5,10.8,fortis,1987
15885,9.5,10.8,fortis,1987
10081,9.5,10.9,fortis,1987
15648,9.5,10.9,fortis,1987
15734,9.5,10.9,fortis,1987
15398,9.5,11.0,fortis,1987
10670,9.5,11.1,fortis,1987
15041,9.5,11.1,fortis,1987
2862,9.5,11.15,fortis,1987
14675,9.5,11.2,fortis,1987
14687,9.5,11.5,fortis,1987
14957,9.5,11.8,fortis,1987
15447,9.5,12.9,fortis,1987
15042,9.51,11.04,fortis,1987
15028,9.51,11.14,fortis,1987
15642,9.51,11.14,fortis,1987
15329,9.51,11.24,fortis,1987
15660,9.51,11.24,fortis,1987
15714,9.51,11.24,fortis,1987
15767,9.51,11.64,fortis,1987
15316,9.51,11.84,fortis,1987
14948,9.52,10.7,fortis,1987
14621,9.52,11.2,fortis,1987
14720,9.52,12.0,fortis,1987
14937,9.53,11.36,fortis,1987
15131,9.53,11.86,fortis,1987
15616,9.53,12.16,fortis,1987
15840,9.55,10.85,fortis,1987
14893,9.55,11.0,fortis,1987
14958,9.56,11.29,fortis,1987
14676,9.57,11.0,fortis,1987
14839,9.57,11.94,fortis,1987
15370,9.57,12.25,fortis,1987
5335,9.59,11.96,fortis,1987
10751,9.6,10.0,fortis,1987
14713,9.6,10.4,fortis,1987
14615,9.6,10.7,fortis,1987
14825,9.6,10.7,fortis,1987
14040,9.6,10.8,fortis,1987
16117,9.6,10.8,fortis,1987
13075,9.6,10.85,fortis,1987
15339,9.6,10.9,fortis,1987
2847,9.6,11.0,fortis,1987
14916,9.6,11.1,fortis,1987
15390,9.6,11.15,fortis,1987
4843,9.6,11.17,fortis,1987
14492,9.6,11.2,fortis,1987
5560,9.6,11.3,fortis,1987
14678,9.6,11.5,fortis,1987
14866,9.6,11.7,fortis,1987
15612,9.6,11.9,fortis,1987
15158,9.6,12.1,fortis,1987
14793,9.61,9.14,fortis,1987
10194,9.61,11.02,fortis,1987
15949,9.61,11.04,fortis,1987
15475,9.61,11.24,fortis,1987
15722,9.61,11.24,fortis,1987
15210,9.61,11.44,fortis,1987
15839,9.61,11.44,fortis,1987
15908,9.61,11.44,fortis,1987
15049,9.61,11.54,fortis,1987
15764,9.61,11.54,fortis,1987
15667,9.62,10.84,fortis,1987
15004,9.63,10.5,fortis,1987
15293,9.63,10.86,fortis,1987
14774,9.63,11.06,fortis,1987
14842,9.63,11.15,fortis,1987
15969,9.63,11.26,fortis,1987
14790,9.63,11.36,fortis,1987
14887,9.63,12.16,fortis,1987
14677,9.65,11.6,fortis,1987
14710,9.65,11.65,fortis,1987
4378,9.66,10.64,fortis,1987
5586,9.67,10.2,fortis,1987
15197,9.67,11.04,fortis,1987
10550,9.69,11.88,fortis,1987
14917,9.7,10.3,fortis,1987
14816,9.7,10.7,fortis,1987
4899,9.7,10.87,fortis,1987
4911,9.7,11.0,fortis,1987
15196,9.7,11.0,fortis,1987
15607,9.7,11.0,fortis,1987
16173,9.7,11.13,fortis,1987
14751,9.7,11.2,fortis,1987
15113,9.7,11.2,fortis,1987
14688,9.7,11.3,fortis,1987
13807,9.7,11.4,fortis,1987
15001,9.7,11.4,fortis,1987
15239,9.71,11.04,fortis,1987
15212,9.71,11.14,fortis,1987
15753,9.71,11.14,fortis,1987
10228,9.71,11.24,fortis,1987
15644,9.71,11.24,fortis,1987
14609,9.71,11.29,fortis,1987
15655,9.72,10.34,fortis,1987
14617,9.72,11.14,fortis,1987
13837,9.72,11.58,fortis,1987
15172,9.72,11.84,fortis,1987
14670,9.72,12.44,fortis,1987
14736,9.73,10.96,fortis,1987
15012,9.73,11.46,fortis,1987
14807,9.73,11.67,fortis,1987
13945,9.74,10.43,fortis,1987
14412,9.74,10.73,fortis,1987
3569,9.74,10.94,fortis,1987
15857,9.76,11.94,fortis,1987
15478,9.77,11.1,fortis,1987
15930,9.77,12.05,fortis,1987
14739,9.78,10.81,fortis,1987
14633,9.78,11.29,fortis,1987
14674,9.8,10.5,fortis,1987
13201,9.8,10.7,fortis,1987
5026,9.8,10.9,fortis,1987
15193,9.8,10.9,fortis,1987
14746,9.8,11.0,fortis,1987
14963,9.8,11.0,fortis,1987
14971,9.8,11.0,fortis,1987
15385,9.8,11.1,fortis,1987
15015,9.8,11.2,fortis,1987
5505,9.8,11.4,fortis,1987
15621,9.8,11.6,fortis,1987
14987,9.8,11.7,fortis,1987
14820,9.8,11.8,fortis,1987
14889,9.8,11.8,fortis,1987
5504,9.8,11.9,fortis,1987
15302,9.8,12.3,fortis,1987
14942,9.81,11.19,fortis,1987
14856,9.81,11.24,fortis,1987
14849,9.81,11.34,fortis,1987
15203,9.81,11.49,fortis,1987
15670,9.81,11.64,fortis,1987
15371,9.81,11.74,fortis,1987
15856,9.81,11.74,fortis,1987
15377,9.82,10.94,fortis,1987
15979,9.82,11.04,fortis,1987
14796,9.82,11.15,fortis,1987
15145,9.82,11.3,fortis,1987
15058,9.83,10.96,fortis,1987
15692,9.83,11.16,fortis,1987
15033,9.83,11.26,fortis,1987
15255,9.83,12.1,fortis,1987
14620,9.85,10.7,fortis,1987
13781,9.85,12.3,fortis,1987
5625,9.86,10.94,fortis,1987
14783,9.86,11.39,fortis,1987
15053,9.86,12.01,fortis,1987
15150,9.87,10.94,fortis,1987
5921,9.87,11.2,fortis,1987
15358,9.87,11.34,fortis,1987
15383,9.87,11.7,fortis,1987
14886,9.88,11.86,fortis,1987
5570,9.9,10.8,fortis,1987
13975,9.9,11.0,fortis,1987
14930,9.9,11.2,fortis,1987
15433,9.9,11.3,fortis,1987
5400,9.9,11.5,fortis,1987
15473,9.9,11.5,fortis,1987
15124,9.9,11.7,fortis,1987
5614,9.9,11.8,fortis,1987
10305,9.9,11.82,fortis,1987
15148,9.9,11.9,fortis,1987
15849,9.9,12.0,fortis,1987
15665,9.91,11.14,fortis,1987
14955,9.91,11.74,fortis,1987
14721,9.91,11.84,fortis,1987
15682,9.91,12.24,fortis,1987
4721,9.92,10.95,fortis,1987
14660,9.92,11.14,fortis,1987
15355,9.92,11.84,fortis,1987
15653,9.92,11.84,fortis,1987
14711,9.92,12.05,fortis,1987
15281,9.92,12.17,fortis,1987
4190,9.93,11.04,fortis,1987
15650,9.93,11.06,fortis,1987
15112,9.93,11.16,fortis,1987
14974,9.93,11.46,fortis,1987
10080,9.95,11.1,fortis,1987
14943,9.95,11.85,fortis,1987
13760,9.96,10.67,fortis,1987
14689,9.96,11.2,fortis,1987
14117,10.0,10.6,fortis,1987
15674,10.0,10.6,fortis,1987
10679,10.0,10.9,fortis,1987
5963,10.0,11.0,fortis,1987
14818,10.0,11.0,fortis,1987
15749,10.0,11.0,fortis,1987
14781,10.0,11.1,fortis,1987
13231,10.0,11.13,fortis,1987
14174,10.0,11.2,fortis,1987
2776,10.0,11.3,fortis,1987
15140,10.0,11.3,fortis,1987
14745,10.0,11.5,fortis,1987
15951,10.0,11.5,fortis,1987
15291,10.0,11.7,fortis,1987
14752,10.0,11.9,fortis,1987
14772,10.0,12.0,fortis,1987
15603,10.0,12.8,fortis,1987
15062,10.01,11.44,fortis,1987
15003,10.01,11.94,fortis,1987
14961,10.02,11.84,fortis,1987
14346,10.02,11.93,fortis,1987
15073,10.03,10.66,fortis,1987
5860,10.05,11.55,fortis,1987
15681,10.06,12.29,fortis,1987
14817,10.07,11.5,fortis,1987
14618,10.08,11.16,fortis,1987
13300,10.09,11.06,fortis,1987
15183,10.1,11.2,fortis,1987
13413,10.1,11.3,fortis,1987
15897,10.1,11.6,fortis,1987
15249,10.1,11.7,fortis,1987
15199,10.11,11.34,fortis,1987
15920,10.11,11.44,fortis,1987
15099,10.11,11.49,fortis,1987
14865,10.11,11.74,fortis,1987
14333,10.12,11.03,fortis,1987
5789,10.12,11.28,fortis,1987
15309,10.12,11.45,fortis,1987
15317,10.12,11.84,fortis,1987
14895,10.13,10.96,fortis,1987
14738,10.13,11.26,fortis,1987
14926,10.13,12.66,fortis,1987
15448,10.13,13.96,fortis,1987
14812,10.15,11.05,fortis,1987
5960,10.15,11.4,fortis,1987
15461,10.16,11.44,fortis,1987
4677,10.17,11.02,fortis,1987
13595,10.17,11.4,fortis,1987
14656,10.17,11.9,fortis,1987
14657,10.2,10.25,fortis,1987
14992,10.2,11.0,fortis,1987
14777,10.2,11.6,fortis,1987
15304,10.2,12.3,fortis,1987
14619,10.21,11.54,fortis,1987
14753,10.21,11.54,fortis,1987
14650,10.21,11.74,fortis,1987
15315,10.21,11.74,fortis,1987
14627,10.23,10.86,fortis,1987
15295,10.23,11.96,fortis,1987
10658,10.27,11.15,fortis,1987
4946,10.27,11.42,fortis,1987
14655,10.29,11.33,fortis,1987
5731,10.3,10.8,fortis,1987
5559,10.3,11.0,fortis,1987
15338,10.3,11.1,fortis,1987
10622,10.3,11.3,fortis,1987
2984,10.3,11.4,fortis,1987
14851,10.3,11.4,fortis,1987
5060,10.3,11.8,fortis,1987
14003,10.32,11.8,fortis,1987
5844,10.32,11.83,fortis,1987
14805,10.33,11.06,fortis,1987
3527,10.33,11.79,fortis,1987
14919,10.33,11.87,fortis,1987
15830,10.33,12.27,fortis,1987
14468,10.34,11.83,fortis,1987
5847,10.34,11.93,fortis,1987
2753,10.35,10.89,fortis,1987
15471,10.35,11.6,fortis,1987
15609,10.35,11.8,fortis,1987
15444,10.35,12.85,fortis,1987
15025,10.37,11.29,fortis,1987
14873,10.4,11.6,fortis,1987
15101,10.4,11.7,fortis,1987
15458,10.4,11.9,fortis,1987
15037,10.4,12.0,fortis,1987
15171,10.4,12.0,fortis,1987
14925,10.4,12.75,fortis,1987
15411,10.41,12.24,fortis,1987
14616,10.42,11.65,fortis,1987
14922,10.43,11.76,fortis,1987
5905,10.43,11.86,fortis,1987
4993,10.45,11.44,fortis,1987
14662,10.5,11.0,fortis,1987
5904,10.5,11.1,fortis,1987
10181,10.5,11.1,fortis,1987
15702,10.5,11.7,fortis,1987
5543,10.5,11.8,fortis,1987
720,10.5,12.2,fortis,1987
15413,10.51,11.54,fortis,1987
15392,10.51,11.64,fortis,1987
15947,10.51,11.94,fortis,1987
15955,10.51,12.34,fortis,1987
15021,10.52,11.0,fortis,1987
14625,10.52,11.84,fortis,1987
14651,10.52,11.84,fortis,1987
14848,10.53,11.36,fortis,1987
15147,10.53,11.46,fortis,1987
15980,10.53,11.56,fortis,1987
4876,10.55,10.34,fortis,1987
1469,10.56,11.73,fortis,1987
15372,10.57,12.25,fortis,1987
5649,10.59,11.55,fortis,1987
3393,10.6,11.7,fortis,1987
15216,10.6,11.9,fortis,1987
15688,10.61,11.54,fortis,1987
5821,10.62,12.32,fortis,1987
14870,10.67,11.95,fortis,1987
13407,10.68,11.27,fortis,1987
14993,10.7,12.3,fortis,1987
14663,10.72,11.65,fortis,1987
14991,10.72,12.4,fortis,1987
15170,10.72,12.84,fortis,1987
14804,10.73,11.76,fortis,1987
1774,10.75,11.9,fortis,1987
14149,10.8,10.9,fortis,1987
14622,10.8,11.0,fortis,1987
15948,10.8,11.6,fortis,1987
2536,10.84,11.44,fortis,1987
14624,10.85,11.85,fortis,1987
2743,10.85,12.1,fortis,1987
5370,10.88,12.73,fortis,1987
14706,10.9,11.5,fortis,1987
15825,10.9,11.8,fortis,1987
10178,11.0,11.7,fortis,1987
15910,11.0,11.85,fortis,1987
15976,11.0,12.2,fortis,1987
14550,11.02,13.65,fortis,1987
13487,11.07,11.78,fortis,1987
14649,11.1,11.7,fortis,1987
4986,11.17,11.87,fortis,1987
15651,11.2,12.8,fortis,1987
15954,11.21,12.04,fortis,1987
15905,11.38,11.46,fortis,1987
14442,11.38,11.53,fortis,1987
14408,11.49,11.23,fortis,1987
15877,11.53,12.26,fortis,1987
5110,12.37,14.07,fortis,1987
3597,12.7,13.03,fortis,1987
15718,7.77,10.75,scandens,1987
5594,7.94,13.73,scandens,1987
15235,7.96,14.04,scandens,1987
15252,8.0,12.5,scandens,1987
15847,8.01,12.64,scandens,1987
15139,8.23,12.66,scandens,1987
15237,8.3,13.0,scandens,1987
4045,8.36,13.15,scandens,1987
8443,8.37,13.96,scandens,1987
15798,8.4,13.15,scandens,1987
14786,8.4,13.7,scandens,1987
364,8.4,14.0,scandens,1987
10001,8.41,13.43,scandens,1987
15119,8.5,14.0,scandens,1987
15676,8.5,14.9,scandens,1987
15476,8.6,13.6,scandens,1987
14576,8.6,13.8,scandens,1987
15419,8.6,14.9,scandens,1987
15635,8.61,13.94,scandens,1987
2733,8.67,14.81,scandens,1987
15751,8.7,12.5,scandens,1987
14834,8.7,13.75,scandens,1987
4109,8.7,14.0,scandens,1987
15901,8.7,14.5,scandens,1987
14830,8.7,14.7,scandens,1987
15086,8.72,14.05,scandens,1987
15986,8.72,14.17,scandens,1987
4223,8.77,15.07,scandens,1987
15725,8.8,11.5,scandens,1987
13554,8.8,13.5,scandens,1987
15407,8.8,13.87,scandens,1987
3425,8.8,14.9,scandens,1987
15704,8.81,12.34,scandens,1987
15102,8.81,14.34,scandens,1987
5582,8.87,15.07,scandens,1987
15121,8.88,14.01,scandens,1987
10770,8.89,12.86,scandens,1987
14755,8.9,13.6,scandens,1987
13555,8.9,13.8,scandens,1987
15765,8.9,13.85,scandens,1987
15243,8.9,13.9,scandens,1987
8441,8.9,14.1,scandens,1987
10067,8.9,14.1,scandens,1987
15406,8.9,14.2,scandens,1987
15234,8.9,14.3,scandens,1987
15608,8.9,14.9,scandens,1987
14758,8.91,13.84,scandens,1987
14835,8.91,14.09,scandens,1987
15882,8.92,14.05,scandens,1987
14787,8.93,14.15,scandens,1987
14727,8.93,14.25,scandens,1987
5351,8.95,13.6,scandens,1987
15859,8.95,14.57,scandens,1987
15721,8.96,11.89,scandens,1987
5663,8.97,13.8,scandens,1987
2543,8.97,14.21,scandens,1987
5013,8.99,14.76,scandens,1987
10394,9.0,12.07,scandens,1987
17548,9.0,13.9,scandens,1987
14647,9.0,14.1,scandens,1987
13548,9.0,14.3,scandens,1987
5345,9.0,14.95,scandens,1987
15760,9.01,14.34,scandens,1987
15685,9.02,13.84,scandens,1987
14731,9.02,14.04,scandens,1987
14906,9.02,14.14,scandens,1987
15330,9.03,12.56,scandens,1987
4577,9.04,15.14,scandens,1987
4744,9.05,14.35,scandens,1987
10984,9.05,14.85,scandens,1987
14759,9.06,14.04,scandens,1987
15639,9.1,14.2,scandens,1987
15090,9.1,14.3,scandens,1987
4221,9.1,14.5,scandens,1987
15422,9.1,14.5,scandens,1987
15441,9.1,14.6,scandens,1987
15736,9.1,15.0,scandens,1987
4683,9.13,13.6,scandens,1987
14768,9.13,14.65,scandens,1987
5375,9.14,14.03,scandens,1987
14843,9.18,14.16,scandens,1987
2554,9.2,13.83,scandens,1987
14995,9.2,14.2,scandens,1987
15638,9.2,14.35,scandens,1987
15837,9.2,14.45,scandens,1987
10002,9.21,14.64,scandens,1987
14584,9.21,15.04,scandens,1987
14730,9.22,13.9,scandens,1987
3458,9.24,14.34,scandens,1987
5911,9.24,14.53,scandens,1987
2760,9.25,14.2,scandens,1987
15812,9.25,14.85,scandens,1987
5367,9.25,15.1,scandens,1987
10174,9.25,15.2,scandens,1987
1645,9.26,13.5,scandens,1987
4090,9.26,14.95,scandens,1987
5576,9.28,13.83,scandens,1987
14975,9.28,13.95,scandens,1987
2877,9.28,15.09,scandens,1987
10206,9.3,13.43,scandens,1987
4778,9.3,13.7,scandens,1987
5322,9.3,14.0,scandens,1987
10207,9.3,14.15,scandens,1987
10740,9.3,14.75,scandens,1987
8450,9.3,14.9,scandens,1987
10517,9.3,15.0,scandens,1987
2758,9.32,13.56,scandens,1987
14729,9.33,14.26,scandens,1987
10743,9.34,13.83,scandens,1987
13527,9.34,14.53,scandens,1987
8444,9.34,14.84,scandens,1987
15738,9.35,15.0,scandens,1987
2445,9.37,13.76,scandens,1987
5931,9.37,13.9,scandens,1987
14728,9.37,14.29,scandens,1987
15615,9.37,14.63,scandens,1987
14646,9.38,14.3,scandens,1987
13526,9.4,13.6,scandens,1987
15343,9.4,14.4,scandens,1987
10105,9.4,14.9,scandens,1987
14645,9.4,14.9,scandens,1987
2433,9.42,14.34,scandens,1987
10268,9.43,14.53,scandens,1987
10245,9.45,14.65,scandens,1987
4706,9.5,14.8,scandens,1987
14918,9.5,16.0,scandens,1987
15694,9.51,13.14,scandens,1987
15421,9.51,14.44,scandens,1987
14208,9.52,12.73,scandens,1987
1396,9.54,15.04,scandens,1987
1444,9.55,14.85,scandens,1987
4051,9.6,14.2,scandens,1987
10061,9.6,15.2,scandens,1987
4701,9.6,16.0,scandens,1987
13257,9.62,14.47,scandens,1987
2949,9.64,14.54,scandens,1987
14946,9.65,14.9,scandens,1987
5656,9.7,14.9,scandens,1987
5608,9.7,15.8,scandens,1987
15352,9.73,13.46,scandens,1987
15817,9.73,14.77,scandens,1987
4119,9.74,14.44,scandens,1987
10223,9.8,15.2,scandens,1987
2969,9.8,16.0,scandens,1987
14648,9.82,14.4,scandens,1987
15658,9.85,14.45,scandens,1987
13256,9.85,15.35,scandens,1987
8425,9.9,14.2,scandens,1987
14524,9.9,15.3,scandens,1987
10075,9.94,14.27,scandens,1987
4137,10.0,15.8,scandens,1987
14847,10.1,15.3,scandens,1987
15886,10.11,11.24,scandens,1987
14877,10.27,15.2,scandens,1987
8036,10.34,15.44,scandens,1987
14579,11.33,14.96,scandens,1987
2639,8.95,10.3,fortis,1991
2666,9.3,12.81,fortis,1991
2753,10.35,10.89,fortis,1991
2776,10.0,11.3,fortis,1991
4229,8.62,10.05,fortis,1991
4677,10.17,11.02,fortis,1991
4715,8.7,10.4,fortis,1991
4899,9.7,10.87,fortis,1991
4911,9.7,11.0,fortis,1991
4936,9.05,10.0,fortis,1991
4946,10.27,11.42,fortis,1991
5026,9.8,10.9,fortis,1991
5110,12.37,14.07,fortis,1991
5370,10.88,12.73,fortis,1991
5505,9.8,11.4,fortis,1991
5555,8.42,9.04,fortis,1991
5578,7.65,9.8,fortis,1991
5586,9.67,10.2,fortis,1991
5602,8.74,10.83,fortis,1991
5625,9.86,10.94,fortis,1991
5626,8.89,11.1,fortis,1991
5669,8.9,10.4,fortis,1991
5685,8.55,9.8,fortis,1991
5721,8.9,11.1,fortis,1991
5731,10.3,10.8,fortis,1991
5821,10.62,12.32,fortis,1991
5826,9.2,10.55,fortis,1991
5860,10.05,11.55,fortis,1991
5872,8.8,11.8,fortis,1991
5887,8.4,10.18,fortis,1991
5904,10.5,11.1,fortis,1991
5905,10.43,11.86,fortis,1991
5921,9.87,11.2,fortis,1991
5927,9.2,10.7,fortis,1991
5960,10.15,11.4,fortis,1991
10081,9.5,10.9,fortis,1991
10100,8.45,10.93,fortis,1991
10102,9.08,10.98,fortis,1991
10181,10.5,11.1,fortis,1991
10213,9.2,10.7,fortis,1991
10305,9.9,11.82,fortis,1991
10376,7.68,9.28,fortis,1991
10679,10.0,10.9,fortis,1991
10826,9.4,11.2,fortis,1991
13269,8.7,9.4,fortis,1991
13300,10.09,11.06,fortis,1991
13351,8.35,10.0,fortis,1991
13385,8.87,11.2,fortis,1991
13486,9.07,9.98,fortis,1991
13543,8.1,10.3,fortis,1991
13575,8.93,11.0,fortis,1991
13595,10.17,11.4,fortis,1991
13644,9.5,10.5,fortis,1991
13687,8.77,10.67,fortis,1991
13704,9.47,10.67,fortis,1991
13837,9.72,11.58,fortis,1991
13945,9.74,10.43,fortis,1991
13975,9.9,11.0,fortis,1991
13994,8.64,10.18,fortis,1991
14003,10.32,11.8,fortis,1991
14041,9.2,10.0,fortis,1991
14062,9.2,10.7,fortis,1991
14100,9.2,10.6,fortis,1991
14117,10.0,10.6,fortis,1991
14258,8.91,10.76,fortis,1991
14347,9.12,10.63,fortis,1991
14442,11.38,11.53,fortis,1991
14468,10.34,11.83,fortis,1991
14478,8.95,10.9,fortis,1991
14492,9.6,11.2,fortis,1991
14518,9.17,10.72,fortis,1991
14533,8.92,11.1,fortis,1991
14612,7.95,9.27,fortis,1991
14613,7.0,9.1,fortis,1991
14620,9.85,10.7,fortis,1991
14624,10.85,11.85,fortis,1991
14625,10.52,11.84,fortis,1991
14633,9.78,11.29,fortis,1991
14655,10.29,11.33,fortis,1991
14656,10.17,11.9,fortis,1991
14660,9.92,11.14,fortis,1991
14672,9.12,10.54,fortis,1991
14674,9.8,10.5,fortis,1991
14676,9.57,11.0,fortis,1991
14678,9.6,11.5,fortis,1991
14681,8.96,9.94,fortis,1991
14684,8.9,10.7,fortis,1991
14686,8.31,10.74,fortis,1991
14687,9.5,11.5,fortis,1991
14689,9.96,11.2,fortis,1991
14692,9.15,11.25,fortis,1991
14694,8.7,10.8,fortis,1991
14705,9.4,10.5,fortis,1991
14706,10.9,11.5,fortis,1991
14710,9.65,11.65,fortis,1991
14720,9.52,12.0,fortis,1991
14722,9.47,12.15,fortis,1991
14723,9.1,12.0,fortis,1991
14741,9.06,11.04,fortis,1991
14745,10.0,11.5,fortis,1991
14752,10.0,11.9,fortis,1991
14762,8.5,10.3,fortis,1991
14763,8.81,10.19,fortis,1991
14777,10.2,11.6,fortis,1991
14783,9.86,11.39,fortis,1991
14784,9.11,11.34,fortis,1991
14788,9.0,12.0,fortis,1991
14796,9.82,11.15,fortis,1991
14797,8.8,10.37,fortis,1991
14808,8.9,11.6,fortis,1991
14811,8.9,10.33,fortis,1991
14812,10.15,11.05,fortis,1991
14818,10.0,11.0,fortis,1991
14822,8.3,10.0,fortis,1991
14841,8.87,9.9,fortis,1991
14846,9.01,10.04,fortis,1991
14854,9.2,10.75,fortis,1991
14856,9.81,11.24,fortis,1991
14858,8.8,10.9,fortis,1991
14866,9.6,11.7,fortis,1991
14873,10.4,11.6,fortis,1991
14879,9.2,10.7,fortis,1991
14880,8.72,9.84,fortis,1991
14890,8.4,10.9,fortis,1991
14900,9.45,11.0,fortis,1991
14901,9.3,10.1,fortis,1991
14902,8.6,10.0,fortis,1991
14909,8.3,10.0,fortis,1991
14912,8.28,9.64,fortis,1991
14913,7.41,9.14,fortis,1991
14915,9.0,11.0,fortis,1991
14919,10.33,11.87,fortis,1991
14925,10.4,12.75,fortis,1991
14930,9.9,11.2,fortis,1991
14939,8.45,10.2,fortis,1991
14955,9.91,11.74,fortis,1991
14956,9.27,10.85,fortis,1991
14957,9.5,11.8,fortis,1991
14958,9.56,11.29,fortis,1991
